ASIN,Name,Price,Old_Price,Discount,URL
B0D1VZVDNM,"Shark Steam & Scrub Steam Mop, All-in-One Scrubbing and Sanitizing Hard Floor Cleaner, LED Headlights, 4 Dirt Grip Soft Scrub Pads Included, XL Water Tank, Swivel Steering, Hawaiian Grey, S8001",Deal Price: EUR 105.94,EUR 135.60,22% off,https://www.amazon.com/Shark-Steam-Scrubbing-Sanitizing-S8001/dp/B0D1VZVDNM?ref=dlx_deals_dg_dcl_B0D1VZVDNM_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B01N7ENHO6,"Skylight Frame – WiFi Digital Picture Frame Customer Support, Touch Screen Digital Photo Frame with Easy Setup, Photo Gifts for Parents and Grandparents - 10 Inch Black",Deal Price: EUR 100.86,EUR 134.76,25% off,https://www.amazon.com/Skylight-Frame-Digital-Picture-Anywhere/dp/B01N7ENHO6?ref=dlx_deals_dg_dcl_B01N7ENHO6_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0DPWXNCBR,"COZYFIT Scrubs for Women Set Medical Uniform - V-Neck Top & Straight Leg Pants with 9 Pockets, Unisex Workwear COZY SCRUBS",Deal Price: EUR 19.06,EUR 29.66,36% off,https://www.amazon.com/COZYFIT-Scrubs-Women-Medical-Uniform/dp/B0DPWXNCBR?ref=dlx_deals_dg_dcl_B0DPWXNCBR_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0CF88RN17,"Jack ＆ Rose Travel Steamer for Clothes,100-220V Portable Iron,15s Heat Up,Steamer ＆ Iron 2 In 1, Travel Size,Large Ceramic Heat Panel,for Global and Europe",Deal Price: EUR 38.97,EUR 69.49,44% off,https://www.amazon.com/Jack-Rose-K1-Travel-steamer/dp/B0CF88RN17?ref=dlx_deals_dg_dcl_B0CF88RN17_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B074P1KPGP,"OutdoorMaster Kelvin Ski Helmet - Snowboard Helmet for Men, Women & Youth",Deal Price: EUR 30.20,,24% off,https://www.amazon.com/OutdoorMaster-Ski-Helmet-Certified-Different/dp/B074P1KPGP?ref=dlx_deals_dg_dcl_B074P1KPGP_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B07GKVBQDG,"Neutrogena Makeup Remover Wipes, Daily Single Face Cleansing Towelettes, Makeup Removing Cleansing Wipes Removes Dirt & Oil, Alcohol-Free Face Towelettes, 20 ct",Deal Price: EUR 4.64,EUR 7.03,34% off,https://www.amazon.com/Neutrogena-Cleansing-Towelette-Waterproof-Individually/dp/B07GKVBQDG?ref=dlx_deals_dg_dcl_B07GKVBQDG_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B076DSBHD1,Firming Body Massage Oil with Collagen & Stem Cell – Helps Smooth The Appearance of Cellulite & Improve Skin Texture – Refreshing Aromatherapy Body Oil for Legs & Full Body – 8 Fl Oz by M3,Deal Price: EUR 15.15,EUR 28.66,47% off,https://www.amazon.com/Anti-Cellulite-Massage-Oil/dp/B076DSBHD1?ref=dlx_deals_dg_dcl_B076DSBHD1_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0CXPR5412,"Nothing Ear (a) Wireless Earbuds",Deal Price: EUR 50.00,EUR 92.38,46% off,https://www.amazon.com/Nothing-Ear-Integration-Cancelling-Equaliser/dp/B0CXPR5412?ref=dlx_deals_dg_dcl_B0CXPR5412_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0D634BYLV,"Tile by Life360 Mate - Bluetooth Tracker, Keys Finder and Item Locator for Keys, Bags and More. Phone Finder. Both iOS and Android Compatible. 4-Pack (Black)",Deal Price: EUR 50.84,EUR 67.80,25% off,https://www.amazon.com/Tile-Life360-Bluetooth-Tracker-Compatible/dp/B0D634BYLV?ref=dlx_deals_dg_dcl_B0D634BYLV_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B015QL1KMY,"King 6 Piece Sheet Set - Comfy Breathable & Cooling - Ultra Soft Hotel Luxury Bedding Set with 8-16 Inch Deep Pockets - 1 Flat & 1 Fitted Sheet & 4 Pillowcases - Cozy, Wrinkle Free & Easy Care - White",Deal Price: EUR 21.60,,15% off,https://www.amazon.com/King-Size-Sheet-Set-Breathable/dp/B015QL1KMY?ref=dlx_deals_dg_dcl_B015QL1KMY_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B083L8RNJR,"TOLOCO Massage Gun, Deep Tissue Back Massage for Athletes for Pain Relief, Percussion Massager with 10 Massages Heads & Silent Brushless Motor, Valentines Day Gifts for Him Her, Black",Deal Price: EUR 33.89,EUR 50.84,33% off,https://www.amazon.com/TOLOCO-Athletes-Percussion-Massager-Brushless/dp/B083L8RNJR?ref=dlx_deals_dg_dcl_B083L8RNJR_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0F5GZDKQQ,"HighBeds Side Sleeper Pillow – Soft Ergonomic Cervical-Neck-Pillow for Neck Pain Relief, Ice Silk Zipperless Pillowcase, Eco Friendly and Durable Material (White)",Deal Price: EUR 55.68,EUR 61.86,10% off,https://www.amazon.com/HighBeds-Cervical-Neck-Pillow-Memory/dp/B0F5GZDKQQ?ref=dlx_deals_dg_dcl_B0F5GZDKQQ_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0DGXYCKFW,Alimens & Gentle Men's Dress Shirt Regular Fit Stretch Stain Shield Long Sleeve Solid Business Wedding Button Down Shirts,Deal Price: EUR 11.63,,28% off,https://www.amazon.com/Alimens-Gentle-Regular-Stretch-Business/dp/B0DGXYCKFW?ref=dlx_deals_dg_dcl_B0DGXYCKFW_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
B0BNDM2RNG,"LEVOIT Air Purifier for Home Large Room Up to 1073Ft² with Air Quality Monitor, AHAM VERIFIDE, Smart WiFi, Washable Pre-Filter, HEPA Sleep Mode for Pets, Allergies, Dust, Pollen, Vital 100S-P, White",Deal Price: EUR 96.58,EUR 118.65,19% off,https://www.amazon.com/LEVOIT-Purifier-VERIFIDE-Pre-Filter-Allergies/dp/B0BNDM2RNG?ref=dlx_deals_dg_dcl_B0BNDM2RNG_dt_sl14_d9_pi&pf_rd_r=2BMQDE6X01A0NZ6A4MCV&pf_rd_p=feab9d2c-8001-4176-bbda-f2e5737a0bd9
